region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
SDLA,2000s,469058,SD00062561,several bud clusters,"yes, cauline with basal morphology",y,y-OG,25_098,39.4,66.1,1.93,2.2,y,,,2004,,,,,,
SDLA,2000s,469055,SD00062752,6 axillary buds,"yes, cauline w/ intermediate morphology",y,y-OG,25_084,5.74,136.9,2.11,2.27,m,,,2004,,,,,,
SDLA,2000s,469040,SD00062685,"3 axillary bud, 1 terminal","yes, cauline w/ intermediate morphology",y,y-OG,25_088,31.7,42.2,1.9,2.16,y,,,2004,,,,,,
SDLA,2000s,469078,SD00062639,axillary buds and small leaves,"yes, basal",y,y-OG,25_077,8.69,225.9,2.14,2.4,m,,,2004,,,,,,
SDLA,2000s,469063,SD00062589,3 axiallary buds; one massive terminal bud cluster,"yes, cauline with basal morphology",y,y-OG,25_094,24.7,37.1,1.84,1.93,y,,,2005,,,,,,
SDLA,2000s,469065,SD00062735,"2 axillary buds, 1 terminal bud cluster","yes, cauline w/ intermediate morphology",y,y-OG,25_087,38.1,342.8,2.13,2.41,y,,,2005,,,,,,
SDLA,2000s,469079,SD00062691,0,"yes, cauline with basal morphology",y,y-OG,25_083,10.9,42.2,2.04,2.47,m,,,2005,,,,,,
SDLA,2000s,469126,SD00062682,3 apical bud clusters,"yes, cauline with cauline morphology ",y,y-OG,25_086,21.4,197.3,2.12,2.39,y,,,2006,,,,,,
SDLA,2000s,469115,SD00062731,5 axillary buds,"yes, cauline w/ intermediate morphology",y,y-OG,25_095,25,340.1,2.13,2.38,y,,,2006,,,,,,
SDLA,2000s,469111,SD00062628,4 axiallary buds,"yes, cauline",y,y-OG,25_078,16.3,227.1,2.12,2.39,m,,,2007,,,,,,
SDLA,2000s,469107,SD00062630,1 terminal  multi-bud cluster,"yes, cauline with basal morphology",y,y-OG,25_080,36.2,289,2.07,2.31,y,,,2007,,,,,,
SDLA,2000s,469123,SD00062583,"axillary bud, small leaf, floral bud clusters",no,y,y-OG,25_091,23.6,173,2.09,2.37,y,,,2009,,,,,,
SDLA,2010s,3700296,SD00030202,several tiny axillary buds,"yes, basal",y,y-OG,25_097,12.5,81.1,2.09,2.22,m,,,2010,,,,,,
SDLA,2010s,1695490,UCR0083350,,,,ip,,,,,,,,,2011,,,,,,
SDLA,2010s,469136,SD00062776,several axiallary buds,"yes, basal",y,y-OG,25_079,32.8,458.5,2.14,2.38,y - RNA?,,,2012,,,,,,
SDLA,2010s,469138,SD00062775,6 axillary buds,"yes, cauline w/ intermediate morphology",y,y-OG,25_092,42.3,398.4,2.11,2.37,y - RNA?,,,2012,,,,,,
SDLA,2010s,3700299,SD00029907,,,y,y-OG,25_081,5.38,11.7,1.86,1.62,y,,,2017,,,,,,
SDLA,2010s,394122,SDSU19952,"buds, maybe an axillary bud","yes, basal",y,y-OG,25_071,4,19.2,1.96,1.49,m,,,2012,,,,,,
SDLA,2010s,394165,SDSU19995,"buds, maybe an axillary bud","yes, basal",y,y-OG,25_072,2.41,10.7,2.1,1.08,m,,,2012,,,,,,
SDLA,2010s,2890234,SD00021403,,,y,ip,,,,,,,,,2018,,,,,,
VALY,pre.1890,3351467,JEPS53818,"1 axiallary bud cluster, 2 apical bud clusters, extra buds","yes, cauline",y,fail,26_143,low,2.3,1.55,-2.43,n,,,1884,,,,,,
VALY,pre.1890,,74174,"1 terminal bud cluster, a few loose buds",no,y,y-N,#N/A,#N/A,#N/A,#N/A,#N/A,y,,,1893,,,,,,
VALY,1890s,6536598,SACT012140,2 terminal buds,"yes, basal",,,,NA,NA,1.75,34.77,,,,1890,,,,,,
VALY,1900s,3258364,UC14322,3 terminal bud clusters,"yes, cauline, intermediate morphology",y,y-N,26_133,1.73,17.9,2.01,2.7,,,,1901,,,,,,
VALY,1900s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1900s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1900s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1900s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1910s,1368006,DAV310423,"6 axillary buds, 1 lil leaf","yes, cauline with basal morphology",y,y-N,26_013,17.8,36.6,1.74,2.03,y!,,,1914,,,,,,
VALY,1910s,2312024,74263,4 axiallary buds,"yes, basal",y,y-N,26_067,1.22,18.2,1.83,2.02,,,,1914,,,,,,
VALY,1910s,2363992,74220,"1 axillary bud, 3 terminal bud clusters","yes, cauline with basal morphology",y,y-N,25_174,0.642,18.5,1.7,1,m,,,1916,,,,,north valley; OR 2465731/3430357,
VALY,1910s,2465731,74262,"2 terminal bud clusters, 1 axiallary bud","yes, cauline with intermediate morphology",y,y-N,25_196,1.17,7.6,1.45,1.35,y,,,1914,,,,,,
VALY,1910s,3430357,UC203587,2 bud clusters,"yes, cauline with intermediate morphology",y,y-N,26_042,1.17,14.3,1.79,3.52,,,,1914,,,,,,
VALY,1920s,2413972,74264,tiny leaf and apical meristeam ,"yes, basal ",y,y-N,26_071,0.839,19.1,1.82,1.87,,,,1923,,,,,,
