id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
3656309,,SBBG,sativus,2019,4,Santa Barbara,34.41528,-119.86679,y,3525429,3.619093001,new,n,y
469054,SD00062749,SD,sativus,2005,3,San Diego,33.09194,-117.29917,y,468966,2.048445534,new,n,y
469052,SD00062746,SD,sativus,2005,1,San Diego,33.1301,-117.3069,y,468966,3.471217992,new,n,y
469073,SD00062640,SD,sativus,2004,5,San Diego,33.14917,-117.29833,y,468966,5.731265914,new,n,y
469047,SD00062756,SD,sativus,2004,2,San Diego,32.9811,-117.23,y,468967,2.560557104,new,n,y
469049,SD00062684,SD,sativus,2005,4,San Diego,32.9647,-117.2567,y,468967,3.347123187,new,n,y
469050,SD00062709,SD,sativus,2005,4,San Diego,32.9631,-117.25,y,468967,3.503899844,new,n,y
469048,SD00062757,SD,sativus,2005,4,San Diego,32.9394,-117.2136,y,468967,7.109670782,new,n,y
469034,SD00062764,SD,sativus,2004,4,San Diego,32.93105,-117.23964,y,468967,7.149311686,new,n,y
5996911,SD00085680,SD,sativus,2023,5,San Diego,32.915,-117.24139,y,468967,8.889905501,new,n,y
469170,SD00062780,SD,sativus,2010,2,San Diego,32.5751,-117.01087,y,468968,7.252470939,new,n,y
469102,SD00062632,SD,sativus,2005,3,San Diego,33.1035,-117.2268,y,468970,5.550389336,new,n,y
469108,SD00062629,SD,sativus,2007,3,San Diego,33.075,-117.0025,y,468971,1.261181932,new,n,y
3113068,SD00023692,SD,sativus,2017,8,San Diego,33.06134,-116.98877,y,468971,2.319034011,new,n,y
469086,SD00062588,SD,sativus,2006,3,San Diego,33.1028,-117.0283,y,468971,4.099884307,new,n,y
3700298,SD00029906,SD,raphanistrum,2017,7,San Diego,33.05982,-117.03068,y,468971,4.380374336,new,n,y
469118,SD00062728,SD,sativus,2007,5,San Diego,33.08667,-116.90306,y,468971,8.312874219,new,n,y
469132,SD00062681,SD,sativus,2005,6,San Diego,33.08528,-116.90167,y,468971,8.434585135,new,n,y
469083,SD00062695,SD,sativus,2006,4,San Diego,33.0479,-116.9111,y,468971,8.446676647,new,n,y
469084,SD00062694,SD,sativus,2006,4,San Diego,33.0479,-116.9111,y,468971,8.446676647,new,n,y
469104,SD00062785,SD,sativus,2006,5,San Diego,32.9775,-116.9717,y,468971,11.75141268,new,n,y
469101,SD00062635,SD,sativus,2006,6,San Diego,32.9548,-117.0105,y,468971,14.22219412,new,n,y
469081,SD00062687,SD,sativus,2006,3,San Diego,32.9552,-116.9263,y,468971,15.34965307,new,n,y
3963071,SD00039724,SD,sativus,2019,4,San Diego,32.9535,-117.056,y,468971,15.46569661,new,n,y
469082,SD00062693,SD,sativus,2006,3,San Diego,32.9506,-117.0496,y,468971,15.5455143,new,n,y
469125,SD00062683,SD,sativus,2008,4,San Diego,32.93944,-116.97886,y,468971,15.86651157,new,n,y
469110,SD00062627,SD,sativus,2007,3,San Diego,33.30302,-117.47482,y,468973,2.834314989,new,n,y
3751457,SD00033054,SD,sativus,2019,5,San Diego,33.31783,-117.43864,y,468973,3.76480936,new,n,y
469109,SD00062652,SD,sativus,2007,3,San Diego,33.24381,-117.42605,y,468973,5.265397627,new,n,y
