id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,tissue collected date,
5504875,5504875,CAS,684514,1964,4 axillary buds,"yes, cauline with basal morphology",purple on sheet,,,,,
2359565,2359565,CAS,74193,1966,"2 terminal bud cluster, 2 axillary bud","yes, cauline with basal morphology",beige on sheet,,,,,
5504871,5504871,CAS,684510,1966,4 axillary buds,"yes, cauline with basal morphology",purple on sheet,,,,,
2290954,2290954,CAS,74257,1968,3 axillary buds,"yes, cauline with basal morphology",purple on sheet,map of collection location ,,,,
2328064,2328064,CAS,74256,1968,"4 axillary buds, 1 little leaf","yes, cauline with basal morphology",purple on sheet,map of collection location ,,,,
2272859,2272859,CAS,74258,1969,"3 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, cauline with basal morphology",beige on sheet,map of collection location ,,,,
2406880,2406880,CAS,74339,1973,"1 axillary bud, 1 terminal bud cluster","yes, cauline with basal morphology",beige on sheet,extra leaf tissue,,,,
2395241,2395241,CAS,74351,1974,"3 axillary bud, 1 little leaf","yes, cauline with basal morphology",white on sheet ,,,,,
2355610,2355610,CAS,74204,1990,"2 axillary buds, 1 terminal bud cluster","yes, cauline with basal morphology",,,,,,
2767898,2767898,CAS,539372,1992,"1 terminal bud cluster, 2 axillary buds","yes, cauline with basal morphology",pale purple on sheet,,,,,
2342281,2342281,CAS,74316,1898,"1 axillary bud, 2 terminal bud cluster","yes, cauline with basal morphology ",purple on sheet,,,,,
2395018,2395018,CAS,74260,1924,4 axillary bud clusters,"yes, cauline with basal morphology ",purple on sheet,,,,,
2449627,2449627,CAS,74280,1932,5 terminal bud clusters,"yes, cauline with basal morphology ",yellow on label,extra leaf tissue,,,,
NA,NA,CAS,911736,1936,"1 large terminal bud cluster, 1 axillary bud, 1 little leaf","yes, cauline with basal morphology ",beige on sheet ,https://www.cch2.org/portal/collections/individual/index.php?occid=6245987&clid=0,,,,
2442814,2442814,CAS,74240,1961,"4 axillary buds, some small buds ","yes, cauline with basal morphology ",yellow on label ,,,,,
2333212,2333212,CAS,74290,1961,3 axillary bud clusters,"yes, cauline with basal morphology ",purple on sheet,,,,,
5504855,5504855,CAS,684492,1962,3 axillary buds,"yes, cauline with basal morphology ",purple on sheet,"glue on leaf tissue, multiple individuals on sheet - leaf and DNA collected from same individual ",,,,
5569675,5569675,CAS,684518,1962,4 axillary buds,"yes, cauline with basal morphology ",purple on sheet,,,,,
5569850,5569850,CAS,685177,1962,2 terminal bud clusters,"yes, cauline with basal morphology ",purple on sheet,,,,,
5569676,5569676,CAS,684519,1963,4 axillary buds,"yes, cauline with basal morphology ",purple on sheet,,,,,
2313500,2313500,CAS,74288,1967,3 axillary buds,"yes, cauline with basal morphology ",purple on sheet and label,,,,,
5504852,5504852,CAS,684489,1970,"2 terminal bud clusters, 1 axillary bud","yes, cauline with basal morphology ",purple and yellow on sheet,,,,,
2369553,2369553,CAS,74236,1985,"3 axillary buds, 1 little leaf ","yes, cauline with basal morphology ",purple on sheet,,,,,
2300919,2300919,CAS,74309,1907,"2 axillary bud, 1 terminal bud, 1 little leaf","yes, cauline with cauline morphology ",beige on sheet,,,,,
2390205,2390205,CAS,74346,1907,"3 axillary buds, 1 terminal bud cluster","yes, cauline with cauline morphology ",purple on sheet ,,,,,
2457381,2457381,CAS,74311,1914,3 axillary buds,"yes, cauline with cauline morphology ",purple on sheet ,extra leaf tissue,,,,
2331781,2331781,CAS,74362,1921,"2 axillary bud, 1 terminal bud cluster","yes, cauline with cauline morphology ",purple on sheet ,"potentially two individuals, glue on terminal bud cluster   ",,,,
2386302,2386302,CAS,74329,1927,3 terminal  bud clusters,"yes, cauline with cauline morphology ",beige on sheet ,,,,,
2334980,2334980,CAS,74356,1950,"4 axillary buds, 4 terminal bud clusters","yes, cauline with cauline morphology ",beige on sheet,extra leaf and DNA tissue,,,,
2414651,2414651,CAS,74335,1952,1 axillary bud,"yes, cauline with cauline morphology ",NA,,,,,
2423571,2423571,CAS,74358,1953,2 terminal bud cluster,"yes, cauline with cauline morphology ",purple on sheet,flatter terminal bud likely has glue,,,,
2413016,2413016,CAS,74336,1954,"2 axiallary bud, 1 little leaf","yes, cauline with cauline morphology ",NA,maybe a bit of glue on leaf tissue,,,,
2369059,2369059,CAS,74298,1958,"2 axillary buds, 1 terminal bud cluster","yes, cauline with cauline morphology ",purple on sheet ,,,,,
2289763,2289763,CAS,74313,1961,3 terminal  bud clusters,"yes, cauline with cauline morphology ",purple on sheet,,,,,
2371446,2371446,CAS,74337,1963,"1 axillary bud, 3 terminal bud clusters","yes, cauline with cauline morphology ",beige on sheet,,,,,
5504874,5504874,CAS,684513,1966,3 terminal  bud clusters,"yes, cauline with cauline morphology ",purple on sheet,1 terminal bud cluster with glue,,,,
2425563,2425563,CAS,74285,1966,4 axillary buds,"yes, cauline with cauline morphology ",beige on sheet,,,,,
2403101,2403101,CAS,74287,1970,3 axillary buds,"yes, cauline with cauline morphology ",purple on sheet,,,,,
2438182,2438182,CAS,74338,1974,"1 axillary bud, 1 terminal bud cluster","yes, cauline with cauline morphology ",beige on sheet,map of collection location ,,,,
2453178,2453178,CAS,74219,1900,"1 axiallary bud cluster, 1 apical bud cluster, mature leaf tissue","yes, cauline with intermediate morphology",purple on sheet,extra leaf tissue,,,,
2437901,2437901,CAS,74235,1907,4 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,,"sativus fruits, hairless buds ",,,
2465731,2465731,CAS,74262,1914,"2 terminal bud clusters, 1 axiallary bud","yes, cauline with intermediate morphology",purple on sheet,,,,,
2366181,2366181,CAS,74247,1921,2 axillary buds,"yes, cauline with intermediate morphology",purple on sheet ,,,,,
2322547,2322547,CAS,74245,1921,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,
2317066,2317066,CAS,74244,1921,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,duplicate set of samples - (74250-74244) (note: 74246 was not sampled from series) Berkeley CA 1921 - all appear perenniated ,,,,
2431017,2431017,CAS,74222,1927,"1 axillary bud, 1 terminal bud cluster, 1 little leaf","yes, cauline with intermediate morphology",purple on sheet,,"setivus morphology, fruits, hairless buds, purple flowers (very likely sativus)",,,
2440492,2440492,CAS,74279,1932,"3 axillary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",yellow on label,,,,,
2771952,2771952,CAS,550561,1937,3 terminal  bud clusters,"yes, cauline with intermediate morphology",beige on sheet,"badly dried, likely bad DNA",,,,
2367740,2367740,CAS,74231,1938,4 axillary buds,"yes, cauline with intermediate morphology",white on sheet ,,,,,
2395595,2395595,CAS,74242,1944,"4 axillary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",purple on sheet,,,,,
2321963,2321963,CAS,74308,1955,3 axillary buds,"yes, cauline with intermediate morphology",beige on sheet,,,,,
2285742,2285742,CAS,74327,1955,several young leaves,"yes, cauline with intermediate morphology",n/a,appears pereniated ,,,,
2422780,2422780,CAS,74272,1958,2 axillary buds,"yes, cauline with intermediate morphology",purple on label,,,,,
2377415,2377415,CAS,74330,1958,3 terminal  bud clusters,"yes, cauline with intermediate morphology",purple on label,,,,,
5504857,5504857,CAS,684494,1962,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,,,,,
5504861,5504861,CAS,684499,1963,2 apical bud clusters,"yes, cauline with intermediate morphology",purple on sheet,,,,,
2424544,2424544,CAS,74190,1964,"1 axillary bud, 2 terminal bud cluster","yes, cauline with intermediate morphology",beige on sheet,,,,,
5504867,5504867,CAS,684506,1964,1 terminal bud cluster,"yes, cauline with intermediate morphology",beige on sheet,,,,,
2415893,2415893,CAS,74269,1965,2 large axillary buds,"yes, cauline with intermediate morphology",,,,,,
5569849,5569849,CAS,685176,1966,2 terminal bud clusters,"yes, cauline with intermediate morphology",purple on sheet ,,,,,
2414047,2414047,CAS,74255,1967,"3 axillary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",purple on label,map of collection location ,,,,
5504860,5504860,CAS,684498,1970,3 axillary buds,"yes, cauline with intermediate morphology",purple on label and sheet,"extra leaf tissue, multiple indviduals on sheet, leaf collected from packet (unclear if DNA and leaf from same individual), axillary bud with leaf might be different individual from other buds",,,,
2342720,2342720,CAS,74214,1972,"2 axillary buds, 1 terminal bud cluster, a little leaf","yes, cauline with intermediate morphology",beige on sheet,,,,,
5504868,5504868,CAS,684507,1973,4 axiallary buds,"yes, cauline with intermediate morphology",purple on sheet ,,,,,
2767670,2767670,CAS,539311,1977,"3 axiallary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",beige on sheet,,,,,
2312543,2312543,CAS,74293,1978,3 axillary buds,"yes, cauline with intermediate morphology",white on sheet and label,extra leaf tissue,,,,
2286151,2286151,CAS,74314,1980,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet,"potentially more than 1 individual , extra leaf tissue ",,,,
5504869,5504869,CAS,684508,1982,1 axillary bud,"yes, cauline with intermediate morphology",beige on sheet,,,,,
5043016,5043016,CAS,656433,1984,3 axillary buds,"yes, cauline with intermediate morphology",purple on sheet ,,,,,
2305663,2305663,CAS,74324,1993,3 axiallary buds,"yes, cauline with intermediate morphology",purple on sheet ,,,,,
NA,NA,CAS,684512, ? (1996?),4 axillary buds,"yes, cauline with intermediate morphology",white purple veins on label,,,,,
5504847,5504847,CAS,684484,1963,"1 axillary bud, 1 terminal bud cluster","yes, cauline with intermediate morphology, glue on half leaf tissue",beige on sheet,,,,,
