"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
42,"2773470",2773470,"CAS","554230","554230","1937",2773470,"CAS","Bakersfield City Lot, San Joaquin Valley watershed",,,,,"Kern County",,"2 terminal bud clusters, 1 axillary bud","yes, basal","extra leaf tissue"
43,"2772139",2772139,"CAS","550649","550649","1937",2772139,"CAS","Bakersfield - City Lot, San Joaquin Valley watershed",,,,,"Kern County",,"4 terminal bud clusters, 2 axillary buds","yes, basal",
44,"2772132",2772132,"CAS","550642","550642","1937",2772132,"CAS","National Guard Camp, Pacific Coast watershed",,,,,"San Luis Obispo County",,"1 large terminal bud cluster","yes, basal","unsampled duplicate if extraction fails (550643)"
45,"2411397",2411397,"CAS","74215","74215","1945",2411397,"CAS","Ventura River Basin. Fairview Road.",,,,,"Ventura County",,"1 axillary bud, 2 terminal bud cluster","yes, basal",
46,"2288810",2288810,"CAS","74216","74216","1947",2288810,"CAS","Ventura River Basin. Fairview Road.",,,,,"Ventura County",,"4 axiallary buds, 1 terminal bud cluster","yes, basal",
52,"2283407",2283407,"CAS","74225","74225","1955",2283407,"CAS","Temblor Range and the Western San Joaquin Valley. Old Tulare Lake Bed, 2 miles west of South Lake Farms.",,,,,"Kings County",,"3 axillary buds, 2 terminal bud cluster","yes, basal","extra leaf tissue, unsampled duplicate if extraction fails (74224)"
55,"2332340",2332340,"CAS","74271","74271","1957",2332340,"CAS","Eastern San Joaquin Valley. Bear Mountain Boulevard, 5.3 miles east of Arvin.",,,,,"Kern County",,"4 axillary buds","yes, basal","unsampled duplicate if extraction fails (74270)"
58,"2298844",2298844,"CAS","74186","74186","1958",2298844,"CAS","Sierra Nevada. Miller Meadow.",,,,,"Madera County",,"4 axillary buds","yes, basal",
60,"2465925",2465925,"CAS","74185","74185","1959",2465925,"CAS","Eastern San Joaquin Valley. Greenfield Road, 1.5 mile east of Pumpkin Center.",,,,,"Kern County",,"1 axillary bud, one terminal bud cluster","yes, basal","dirt on leaf tissue"
61,"2290828",2290828,"CAS","74234","74234","1961",2290828,"CAS","Santa Cruz Island. Cattle barnyard in Canyon Cervada.",,,,,"Santa Barbara County",,"2 terminal bud clusters","yes, basal",
64,"2345323",2345323,"CAS","74239","74239","1962",2345323,"CAS","Sierra Nevada. Kern Plateau. Kennedy Meadow.",,,,,"Tulare County",,"3 axillary buds","yes, basal",
65,"2373106",2373106,"CAS","74226","74226","1962",2373106,"CAS","Sierra Nevada. On Bridgeport-French Corral Road, about 1 mile southeast of Bridgeport.",,,,,"Nevada County",,"1 axillary bud, 1 terminal bud cluster","yes, basal",
67,"5569673",5569673,"CAS","684516","684516","1963",5569673,"CAS","Alameda State College Campus, Hayward",,,,,"Alameda County",,"3 axillary buds","yes, basal",
68,"2447532",2447532,"CAS","74341","74341","1963",2447532,"CAS","San Bruno Mountain. Ravine south of Crocker Avenue.",,,,,"San Mateo County",,"3 axiallary buds","yes, basal",
